initialSize:10000, elitism:45mutation:35
227,189.361,0-19-3-64-1-62-58-15-47-8-16-14-57-26-44-67-38-61-50-34-52-36-7-35-27-49-43-13-9-17-56-32-51-21-30-37-40-5-10-66-63-65-25-33-54-45-42-6-24-29-39-4-18-22-59-48-31-41-60-2-20-28-55-11-46-53-12-23-
226,217.861,0-53-46-3-12-19-64-47-1-44-57-16-26-43-56-17-13-9-21-32-51-30-52-61-38-50-34-36-67-27-49-7-35-14-8-58-15-2-40-5-10-65-25-54-33-45-42-6-59-22-48-28-18-55-37-66-63-29-24-20-60-4-41-39-31-11-62-23-
226,232.103,1-53-0-23-55-60-62-15-30-21-51-13-56-17-32-9-43-11-31-24-48-39-41-2-29-5-18-3-58-14-7-8-67-38-36-52-61-50-34-35-27-49-16-46-20-63-37-66-65-33-54-25-45-42-6-10-40-59-22-28-4-12-64-19-47-26-57-44-
226,236.892,24-28-11-2-20-23-3-53-19-12-44-62-55-4-18-59-22-5-40-29-25-65-54-45-33-42-6-37-30-15-58-16-26-14-50-36-52-34-61-38-67-7-57-27-49-35-8-43-51-13-9-17-56-32-21-63-66-10-48-0-47-1-64-46-31-39-60-41-
226,245.777,55-4-18-29-24-40-59-28-2-46-11-22-48-41-5-37-6-66-10-65-33-54-45-25-42-63-30-43-21-51-32-9-17-13-56-36-52-61-67-50-38-34-7-49-58-14-1-44-64-16-35-27-20-39-60-3-0-47-57-8-26-19-53-12-15-62-23-31-
226,274.057,0-11-55-31-4-5-40-60-23-39-28-18-14-7-49-15-62-19-3-20-6-42-54-25-65-33-45-21-9-17-13-56-51-32-67-34-38-36-52-50-61-43-35-30-63-66-48-41-24-29-2-37-10-59-22-27-58-26-44-64-47-1-8-57-16-12-46-53-
226,227.373,59-4-39-11-5-40-24-20-28-31-41-53-48-18-22-29-30-42-66-65-10-6-33-54-25-45-63-37-21-51-32-56-9-17-13-43-61-50-38-52-36-67-34-15-35-58-7-14-16-57-44-26-8-1-46-12-3-64-19-23-60-49-27-62-47-0-2-55-
226,211.55,41-11-60-23-46-0-53-12-3-47-44-62-1-57-8-14-16-19-64-58-35-26-15-27-49-43-51-32-56-17-9-13-21-30-7-34-38-61-36-50-52-67-42-33-54-45-25-65-10-6-37-66-63-24-40-31-28-59-4-29-5-22-48-18-55-39-2-20-
226,217.783,20-2-39-55-4-48-31-47-64-1-49-30-21-51-32-56-13-17-9-43-35-8-16-44-26-7-36-38-67-34-50-61-52-27-62-23-37-25-33-6-42-45-54-65-10-66-63-5-40-22-53-46-12-19-15-58-14-57-3-18-29-24-28-59-11-41-60-0-
226,260.454,29-2-5-24-59-60-62-55-39-18-4-28-22-10-65-48-63-66-37-33-25-54-45-42-6-19-53-14-52-34-61-38-36-50-67-16-57-49-56-32-17-51-30-21-13-43-9-27-58-15-64-44-8-7-35-1-47-3-11-23-0-12-26-46-31-20-41-40-
initialSize:50000, elitism:45mutation:35
258,187.087,12-53-3-1-16-44-64-19-47-15-58-27-49-57-8-26-14-35-7-67-34-52-36-50-61-38-43-9-13-17-56-32-51-21-30-37-66-6-42-45-25-54-33-65-10-63-40-62-20-60-46-55-24-29-5-22-48-28-18-59-0-31-11-41-4-39-2-23-
258,196.482,4-39-48-18-31-2-24-29-28-22-59-40-5-37-66-42-45-33-54-25-10-65-6-63-41-55-11-0-12-3-58-27-49-30-21-51-32-9-17-56-13-43-7-34-50-38-61-36-52-67-16-8-57-26-64-19-47-1-15-35-14-44-46-53-62-20-60-23-
258,180.46,31-60-11-18-28-59-55-39-4-41-2-20-40-29-24-48-22-5-63-10-65-25-54-45-33-42-6-66-37-23-62-15-67-36-34-38-61-50-52-43-56-17-9-13-51-32-21-30-27-49-35-7-14-57-16-26-8-58-1-44-64-47-3-19-12-46-53-0-
258,194.032,31-18-0-23-12-19-3-47-8-64-53-22-48-4-39-55-41-2-29-40-5-24-63-66-37-10-65-25-33-45-54-42-6-28-59-20-30-21-51-32-56-13-9-17-43-49-36-52-61-50-38-34-67-7-14-35-57-44-16-26-1-62-15-27-58-46-60-11-
258,191.604,23-46-3-47-19-64-1-44-14-7-57-27-49-15-58-8-35-16-26-67-34-38-61-50-36-52-43-13-9-17-56-32-51-21-30-62-20-25-45-54-33-10-65-63-42-6-66-37-5-40-22-28-29-24-4-48-59-39-55-31-41-11-18-53-12-0-60-2-
258,201.458,31-55-4-48-22-18-24-29-5-40-66-37-42-63-10-65-33-45-25-54-6-20-27-43-9-17-13-56-32-51-21-30-58-35-44-16-8-14-7-49-67-34-61-50-38-52-36-57-26-15-62-53-3-19-12-47-1-64-46-23-60-39-0-11-41-2-28-59-
258,174.159,0-46-53-12-19-3-62-47-64-16-44-26-8-57-1-15-58-35-14-7-67-52-34-61-50-38-36-49-27-43-30-21-51-13-9-17-56-32-42-6-66-37-63-10-33-45-54-25-65-5-40-29-24-28-59-22-48-18-4-39-55-31-11-41-2-20-23-60-
258,192.407,39-4-2-46-12-53-19-3-1-15-44-26-8-7-35-16-57-14-58-27-30-21-51-32-56-17-9-13-43-36-50-67-38-61-34-52-49-64-47-62-55-29-40-42-33-54-45-25-65-10-6-66-37-63-5-28-59-18-48-22-24-20-41-11-60-23-0-31-
258,189.962,39-31-55-2-41-22-18-48-28-20-66-37-6-42-45-33-54-25-65-10-63-5-40-24-29-59-4-47-44-67-50-61-34-52-36-38-43-9-17-13-56-32-51-21-30-14-7-15-62-26-16-8-35-49-27-58-57-1-64-19-3-46-0-53-12-11-23-60-
258,170.252,2-20-62-15-46-53-12-19-3-47-1-64-44-26-16-58-49-27-35-7-14-8-57-67-36-38-61-50-34-52-43-9-17-56-32-13-51-30-21-42-45-54-33-25-10-65-6-66-63-37-40-29-24-5-28-59-22-18-48-41-55-4-39-11-31-0-23-60-
initialSize:10000, elitism:45mutation:40
256,190.969,3-19-47-64-44-26-16-57-8-14-7-58-35-1-62-15-27-49-43-67-34-50-52-61-38-36-30-21-51-32-56-17-9-13-20-24-40-5-37-42-10-65-25-54-45-33-6-66-63-29-22-59-28-55-18-4-48-39-11-41-31-2-60-23-0-53-12-46-
256,211.932,48-22-37-20-2-28-0-12-19-44-16-1-47-64-26-8-57-14-15-58-35-27-49-43-9-17-56-13-51-32-21-63-10-33-54-45-25-65-66-42-6-30-52-36-38-61-50-34-67-7-62-3-11-31-18-59-24-29-40-5-53-46-23-60-39-41-4-55-
256,200.358,12-3-47-1-8-7-57-16-44-14-62-15-23-19-58-49-43-9-17-56-32-13-51-21-30-27-35-36-52-38-61-50-34-67-26-64-53-48-22-5-40-10-65-25-33-45-54-66-42-6-63-37-28-59-55-11-4-18-29-24-20-2-60-31-41-39-0-46-
256,202.392,39-59-48-0-53-46-55-4-18-22-24-40-29-11-60-23-2-20-30-21-13-51-32-56-17-9-43-37-66-42-6-65-33-54-45-25-10-63-5-41-62-27-49-36-61-38-50-52-34-67-26-16-7-14-35-58-57-8-44-64-3-15-1-47-19-12-31-28-
256,174.822,0-55-31-41-11-60-23-20-2-39-18-48-22-4-28-59-24-5-29-40-37-66-63-10-65-25-54-45-33-42-6-21-13-9-17-56-32-51-30-27-49-43-52-36-50-38-61-34-67-57-44-26-16-8-58-35-7-14-64-47-1-15-62-3-19-46-12-53-
256,189.091,12-53-47-64-19-3-1-62-15-27-49-58-35-7-44-26-16-8-52-36-38-61-50-34-67-57-14-43-30-56-13-9-17-32-51-21-37-6-66-63-10-65-25-54-33-45-42-20-24-29-5-40-28-22-59-18-48-39-4-55-31-41-2-11-0-60-23-46-
256,208.077,22-48-18-41-55-53-46-28-24-5-40-63-10-6-45-54-33-65-25-42-66-37-29-20-2-11-0-23-12-62-30-21-51-13-56-32-17-9-43-49-38-61-36-34-50-67-52-64-16-35-14-26-44-8-57-7-27-58-15-19-1-47-3-60-31-39-4-59-
256,162.306,0-23-60-20-2-41-11-31-55-39-59-4-18-48-22-28-5-40-24-29-37-66-6-63-10-65-25-54-45-33-42-32-51-21-30-13-56-17-9-43-61-38-50-34-36-52-67-49-27-35-58-7-14-57-8-16-26-44-64-1-47-19-3-15-62-46-12-53-
256,169.242,60-23-0-46-53-12-3-19-47-62-15-64-44-1-58-35-14-26-16-57-8-7-27-49-67-34-61-38-50-52-36-43-9-17-56-13-51-32-21-30-37-66-63-6-42-33-45-54-25-65-10-5-48-22-24-29-40-20-2-55-4-28-59-18-39-41-31-11-
256,191.864,3-46-12-19-64-1-26-8-16-44-57-35-58-15-49-27-7-14-38-61-50-34-67-52-36-43-51-32-56-17-9-13-30-21-20-39-4-55-28-24-29-40-5-10-33-45-54-25-65-63-66-6-42-37-41-11-0-2-31-59-22-48-18-53-60-23-62-47-
initialSize:30000, elitism:45mutation:40
278,170.014,19-12-46-53-0-11-2-20-60-23-41-31-4-55-39-18-48-22-59-28-5-24-29-40-63-37-66-6-10-65-25-54-33-45-42-21-51-32-56-17-9-13-43-36-52-34-50-38-61-67-7-35-49-27-58-14-57-8-44-16-26-64-1-15-30-62-47-3-
278,201.402,8-3-47-12-46-53-0-39-22-18-4-28-59-48-2-11-23-30-21-51-32-17-9-56-13-43-61-38-50-34-36-52-67-20-63-66-6-65-33-54-42-45-25-10-37-5-24-40-29-41-55-31-60-62-15-58-27-49-35-7-14-64-19-1-26-57-16-44-
278,204.558,0-53-23-19-47-3-12-46-62-44-64-15-1-57-16-26-8-35-58-27-7-14-36-52-67-50-38-61-34-49-43-30-32-17-9-13-56-51-21-20-37-6-42-45-54-25-33-65-10-66-63-5-48-22-40-2-41-60-55-31-4-18-59-29-24-39-28-11-
278,175.606,11-41-55-31-59-28-39-4-48-22-18-53-46-23-2-20-24-29-37-66-6-42-45-33-54-25-10-65-63-5-40-60-62-58-27-49-7-67-52-36-34-50-38-61-43-9-17-13-32-56-51-21-30-15-35-14-57-8-16-26-44-64-1-47-3-19-12-0-
277,201.839,15-60-23-41-39-31-20-24-59-22-48-18-11-2-5-28-29-55-62-35-47-3-12-0-46-53-4-40-63-66-37-6-10-65-25-54-33-45-42-30-21-13-51-32-56-17-9-43-34-52-36-38-61-50-67-16-8-26-14-64-1-7-27-49-58-57-44-19-
277,176.92,60-2-41-11-31-55-4-39-18-22-48-59-28-40-5-29-24-63-66-10-65-25-54-33-45-42-6-37-20-23-44-67-36-52-38-61-50-34-9-17-56-32-51-21-30-13-43-49-27-58-35-57-8-14-7-16-26-1-15-62-3-19-47-64-12-53-46-0-
278,201.56,11-41-39-31-4-5-40-2-20-29-24-59-55-18-22-28-48-0-19-64-1-44-26-38-50-34-61-36-52-67-66-10-25-54-45-42-6-33-65-63-37-21-51-32-56-17-9-43-13-30-27-49-7-14-57-16-8-35-58-15-62-47-3-12-53-46-23-60-
277,209.024,11-31-55-41-29-24-48-18-4-39-60-2-20-40-5-63-37-66-6-51-32-56-13-21-42-45-33-25-54-10-65-22-28-59-62-30-17-9-43-52-50-38-61-36-34-67-8-26-16-44-57-14-35-58-7-49-27-15-64-46-0-23-3-1-47-19-12-53-
277,192.997,55-2-60-23-62-1-47-46-53-12-19-3-64-14-7-8-26-16-44-57-27-49-35-58-30-21-51-32-17-9-56-13-43-34-50-38-61-67-36-52-15-20-5-65-25-54-45-33-42-6-10-63-37-66-29-24-40-28-4-39-41-11-48-59-22-18-0-31-
277,184.688,53-23-60-31-55-18-22-48-4-11-0-2-37-10-65-25-54-45-33-42-6-66-63-5-40-24-29-28-59-39-41-20-62-30-51-13-9-17-56-32-21-43-34-38-50-61-36-52-67-49-27-35-58-15-57-8-26-16-7-14-44-1-47-64-19-3-12-46-
initialSize:20000, elitism:45mutation:40
277,205.516,18-22-59-48-29-40-24-4-55-11-39-41-60-12-46-23-5-28-2-31-47-1-8-20-63-66-10-65-33-54-25-45-42-6-37-21-30-51-32-56-13-17-9-43-49-34-50-38-61-67-36-52-14-7-16-57-26-35-27-62-15-19-64-44-58-3-53-0-
277,199.857,39-4-40-5-22-48-59-18-55-11-0-28-29-24-20-37-66-6-10-65-25-33-54-45-42-63-62-60-23-19-3-47-30-21-32-56-51-13-17-9-43-50-38-61-52-36-67-34-16-14-7-57-8-26-49-58-15-27-35-1-44-64-12-53-46-31-41-2-
277,173.153,20-23-60-0-53-46-12-19-3-47-1-62-58-49-27-15-64-44-16-26-8-14-57-35-7-67-34-61-38-50-52-36-43-30-51-13-9-17-56-32-21-37-63-10-65-25-33-54-45-42-6-66-5-29-24-40-28-59-22-18-48-4-39-55-41-31-11-2-
277,179.201,64-46-53-12-60-23-41-55-0-20-2-28-11-31-4-39-59-48-18-22-24-5-63-65-10-33-54-25-45-42-6-66-37-40-29-30-21-32-51-13-56-17-9-43-36-52-67-34-50-61-38-49-27-35-14-8-57-16-44-26-7-58-15-62-47-1-19-3-
277,185.642,0-53-12-64-46-3-19-47-58-44-1-62-15-35-8-16-26-14-7-49-27-57-67-36-50-34-61-38-52-43-13-51-21-32-56-17-9-30-20-24-37-6-42-45-33-54-25-65-10-66-63-40-5-29-28-59-4-22-48-18-39-55-41-2-11-31-60-23-
277,201.127,53-0-55-4-28-39-11-41-31-60-23-2-40-5-29-22-18-48-24-37-6-42-33-45-54-25-65-10-66-63-59-20-1-27-43-9-17-13-56-32-21-51-30-52-34-36-38-61-50-67-35-14-16-7-57-26-8-49-62-58-15-64-44-47-19-3-46-12-
277,188.435,1-62-64-44-46-0-23-60-11-4-22-31-39-2-55-41-18-48-59-28-40-37-66-10-65-25-45-54-33-42-6-63-5-24-29-20-30-21-32-51-56-9-17-13-43-38-61-50-34-36-67-52-14-49-27-26-8-57-16-7-35-58-15-47-3-12-53-19-
276,187.285,46-53-0-23-2-20-55-41-18-59-39-31-11-4-28-48-22-5-24-63-65-10-25-54-45-33-6-42-37-66-40-29-60-62-27-49-30-13-51-21-32-56-17-9-43-36-34-50-61-38-52-67-8-58-15-35-7-14-26-1-57-16-44-47-64-19-3-12-
277,217.872,23-2-31-0-3-19-1-55-28-39-48-22-10-63-37-42-54-33-45-25-65-6-66-29-40-24-5-59-11-60-62-15-30-51-21-13-32-56-17-9-43-8-7-52-36-50-61-38-34-67-44-26-16-35-49-14-57-64-47-27-58-20-41-4-18-46-12-53-
277,174.686,2-20-62-15-3-47-12-46-53-19-64-1-58-14-8-44-26-57-16-52-36-50-34-38-61-67-7-35-27-49-43-9-17-56-32-13-51-30-21-42-45-54-33-25-65-10-6-37-66-63-40-29-24-5-59-22-48-18-4-39-28-11-0-31-41-55-60-23-
initialSize:25000, elitism:45mutation:40
281,203.237,3-23-18-48-22-59-28-5-4-31-0-53-64-26-1-44-57-7-8-14-16-67-34-50-38-61-36-52-27-40-66-6-42-33-54-45-25-65-10-63-37-29-24-20-30-21-13-9-51-32-56-17-43-49-35-58-15-47-62-46-39-41-11-55-2-60-12-19-
281,183.944,39-2-55-18-4-59-48-22-24-29-40-63-66-37-6-42-33-25-45-54-10-65-5-28-20-11-60-1-15-62-30-21-32-51-13-56-17-9-43-34-61-38-50-36-52-67-7-57-14-35-27-49-58-8-16-26-44-64-19-53-12-47-3-46-0-41-23-31-
281,194.19,31-11-20-2-60-41-55-39-48-22-59-28-24-37-63-29-40-25-33-54-45-42-6-66-65-10-5-23-15-49-43-9-17-13-56-32-51-21-30-27-35-67-50-38-61-34-52-36-7-57-58-26-44-16-8-14-1-47-3-19-64-53-12-62-46-0-18-4-
281,199.575,2-39-18-53-60-23-46-15-62-8-35-27-49-67-34-50-38-61-52-36-43-30-13-9-17-56-32-51-21-37-33-63-66-6-42-45-54-25-65-10-40-24-0-12-64-26-58-1-14-7-57-16-44-19-3-47-11-31-41-55-28-48-4-22-59-5-29-20-
281,177.39,20-62-47-1-64-12-3-19-15-58-27-35-49-7-26-44-16-57-8-14-67-34-61-50-38-36-52-43-9-17-56-13-32-51-21-30-37-66-63-10-65-25-54-45-33-42-6-40-5-29-22-28-24-4-48-18-41-11-0-60-23-46-53-59-31-55-39-2-
281,160.131,47-3-19-12-53-46-62-23-60-0-11-41-31-55-39-4-18-48-22-28-59-24-29-37-6-42-45-54-33-25-65-10-66-63-5-40-2-20-30-21-51-32-56-13-17-9-43-52-36-34-50-61-38-67-49-27-15-58-35-7-14-57-8-16-26-44-64-1-
281,196.231,53-12-46-23-0-3-19-47-15-62-44-64-1-35-14-26-57-8-16-34-36-52-38-61-50-67-7-58-27-49-43-9-32-56-17-13-51-21-30-65-10-42-45-25-54-33-6-66-37-63-29-40-24-5-59-31-60-20-2-55-39-18-48-28-4-41-11-22-
281,170.112,46-60-23-30-20-2-18-0-11-41-31-39-55-4-28-59-22-48-24-29-5-40-63-37-66-6-10-65-25-33-54-45-42-21-51-32-56-13-17-9-43-52-36-38-61-50-34-67-49-27-35-7-57-44-26-16-8-14-58-15-62-47-1-64-19-3-12-53-
281,213.437,2-46-62-53-0-11-60-23-12-41-59-48-22-18-5-20-30-43-9-17-13-56-32-51-21-24-40-63-37-6-10-65-25-54-33-45-42-66-1-26-34-38-61-50-52-36-67-7-16-57-8-58-49-27-35-14-15-3-19-64-44-47-28-29-39-4-55-31-
281,208.407,47-19-1-44-64-53-12-60-11-2-20-40-24-28-18-10-63-66-6-33-42-45-54-25-65-37-59-22-48-5-29-30-21-51-13-32-56-9-17-43-38-61-50-52-36-67-34-49-58-26-16-57-8-14-35-7-15-27-62-31-55-41-23-46-39-4-0-3-
